,NSE,moran_mean,lisa_stdev,nsga2_rank,ID,front,front color
0,0.68730852,0.82,0.253731680038253,5,hec_150_2019,0,8
1,0.68730852,0.82,0.253731680038253,5,hec_150_2019,0,8
2,0.68389319,0.82,0.321539211836335,4,hec_250_2019,1,7
3,0.68389319,0.82,0.321539211836335,4,hec_250_2019,1,7
4,-7.63330105,0.812595812744248,0.369525850541022,6,ca_30_2016,2,6
5,0.61265219,0.802197206046476,0.378060624926339,10,hec_250_2016,2,6
6,0.32336054,0.766267773338657,0.365245875923736,11,hec_150_2016,2,6
7,0.16662918,0.687476075461141,0.35603605423655,22,hec_250_2020,2,6
8,0.56977069,0.6429703489,0.326662324188919,23,hec_150_2020,2,6
9,-0.75011666,0.780373420140383,0.442900397278993,16,hec_250_2015,3,5
10,-1.67323777,0.733009662598451,0.425918162390969,0,ca_30_2019,3,5
11,-1.67323777,0.733009662598451,0.425918162390969,0,ca_30_2019,3,5
12,-106.268,0.39,0.409471251,14,ca_90_2015,3,5
13,-2.19645357,0.737326933564843,0.463187417938835,17,hec_150_2015,4,4
14,-2.52592105,0.707532964195119,0.431024023531994,1,ca_50_2019,4,4
15,-2.52592105,0.707532964195119,0.431024023531994,1,ca_50_2019,4,4
16,-25.5819383,0.699222774872211,0.427965559274168,7,ca_50_2016,4,4
17,-49.952,0.66,0.426888975,13,ca_50_2015,4,4
18,-3.68216486,0.547450545491496,0.45954020479815,2,ca_90_2019,5,3
19,-3.68216486,0.547450545491496,0.45954020479815,2,ca_90_2019,5,3
20,-12.7906,0.69,0.439131591,12,ca_30_2015,5,3
21,-29.34101757,0.31,0.431756949698813,9,ca_100_2016,5,3
22,-78.5387,0.42,0.436888913,15,ca_100_2015,5,3
23,-4.40712581,0.47649450268677,0.488814117348696,3,ca_100_2019,6,2
24,-4.40712581,0.47649450268677,0.488814117348696,3,ca_100_2019,6,2
25,-34.37498271,0.456437426358114,0.488205774424587,8,ca_90_2016,6,2
26,-97.23660478,0.131241662081424,0.472380438779697,20,ca_90_2020,6,2
27,-95.31913719,0.109423590212525,0.453265409722879,21,ca_100_2020,6,2
28,-88.2806268,0.409998556875807,0.5097024543938,18,ca_30_2020,7,1
29,-52.84064544,0.254968857595892,0.511293189909429,19,ca_50_2020,7,1
